epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.7231,1.25595,3.1214,1.68679,0.67588,0.15809,0.23909,0.12758,1.62249,3.47784,2.1922,0.000329268,0.000329268,0.000329268
2,139.201,1.33333,2.43375,1.70271,0.28881,0.36839,0.26486,0.12888,1.65928,3.34405,2.2436,0.000640736,0.000640736,0.000640736
3,210.451,1.39475,2.22585,1.74574,0.4857,0.49113,0.39791,0.20962,1.54138,2.82522,2.16485,0.000930203,0.000930203,0.000930203
4,280.625,1.36816,2.15237,1.69859,0.50452,0.4188,0.4126,0.20958,1.62449,2.66432,2.21579,0.000901,0.000901,0.000901
5,348.387,1.33648,2.02207,1.68513,0.56229,0.50849,0.50379,0.23109,1.71144,2.50039,2.34,0.000868,0.000868,0.000868
6,416.132,1.33407,1.92116,1.69228,0.59241,0.57207,0.52848,0.29901,1.46307,2.16501,2.04231,0.000835,0.000835,0.000835
7,485.014,1.3587,1.84173,1.68155,0.63863,0.49764,0.56766,0.33041,1.39011,2.19709,1.95556,0.000802,0.000802,0.000802
8,553.177,1.30052,1.77661,1.64497,0.62259,0.57269,0.55201,0.32712,1.42645,1.87682,1.99366,0.000769,0.000769,0.000769
9,620.751,1.28587,1.73467,1.61768,0.62726,0.41247,0.47616,0.26449,1.55841,2.07799,2.20963,0.000736,0.000736,0.000736
10,688.244,1.29934,1.64832,1.6333,0.67661,0.58757,0.57838,0.34764,1.44163,1.83391,2.01322,0.000703,0.000703,0.000703
11,756.291,1.30203,1.58167,1.62993,0.70418,0.64167,0.65811,0.39609,1.34177,1.58436,1.91825,0.00067,0.00067,0.00067
12,824.474,1.30802,1.58914,1.62725,0.72127,0.53189,0.57182,0.32609,1.54187,1.86719,2.07902,0.000637,0.000637,0.000637
13,892.347,1.23526,1.51074,1.57656,0.65809,0.58432,0.61233,0.37878,1.40854,1.55307,1.93399,0.000604,0.000604,0.000604
14,959.875,1.27239,1.46269,1.58992,0.74393,0.58557,0.6222,0.37719,1.4142,1.50935,1.98863,0.000571,0.000571,0.000571
15,1028.18,1.22553,1.37341,1.57088,0.79168,0.59177,0.68835,0.42202,1.43454,1.46494,1.98304,0.000538,0.000538,0.000538
16,1096.01,1.22668,1.345,1.57457,0.74818,0.66534,0.67397,0.42507,1.38995,1.34448,1.93113,0.000505,0.000505,0.000505
17,1164.05,1.23167,1.32829,1.56835,0.54258,0.69466,0.67662,0.4164,1.36973,1.40295,1.87518,0.000472,0.000472,0.000472
18,1232.2,1.1883,1.26923,1.53493,0.83028,0.59756,0.68463,0.42602,1.35934,1.41614,1.88913,0.000439,0.000439,0.000439
19,1299.98,1.18618,1.26637,1.53885,0.78088,0.62076,0.67321,0.40932,1.39577,1.37674,1.912,0.000406,0.000406,0.000406
20,1367.97,1.18472,1.24398,1.52689,0.74961,0.67592,0.69962,0.44113,1.36455,1.25688,1.8935,0.000373,0.000373,0.000373
21,1435.05,1.19666,1.34151,1.74897,0.76727,0.62484,0.67266,0.41997,1.39246,1.36217,1.94299,0.00034,0.00034,0.00034
22,1502.55,1.17796,1.22916,1.73047,0.6313,0.64552,0.68418,0.4274,1.3495,1.27821,1.89806,0.000307,0.000307,0.000307
23,1570.06,1.16451,1.15561,1.70383,0.60663,0.68172,0.69095,0.42731,1.3509,1.29707,1.90347,0.000274,0.000274,0.000274
24,1637.15,1.14754,1.09067,1.68917,0.82336,0.65623,0.72288,0.45249,1.32937,1.21118,1.87679,0.000241,0.000241,0.000241
25,1704.79,1.1079,1.03821,1.6428,0.82346,0.64674,0.72042,0.44092,1.36789,1.24268,1.90686,0.000208,0.000208,0.000208
26,1771.95,1.09513,1.03461,1.64378,0.86868,0.66727,0.73828,0.45431,1.35842,1.21664,1.90312,0.000175,0.000175,0.000175
27,1838.97,1.07567,0.96237,1.6236,0.86197,0.665,0.74539,0.46512,1.33191,1.16467,1.90345,0.000142,0.000142,0.000142
28,1905.87,1.06861,0.9687,1.61492,0.65006,0.75287,0.75583,0.46659,1.3409,1.17613,1.88474,0.000109,0.000109,0.000109
29,1973.08,1.01513,0.89789,1.59807,0.87008,0.70321,0.75334,0.46986,1.31986,1.12827,1.87551,7.6e-05,7.6e-05,7.6e-05
30,2040.29,1.02066,0.89431,1.5696,0.85166,0.69057,0.74783,0.46306,1.34709,1.14133,1.89194,4.3e-05,4.3e-05,4.3e-05
